"molecule"	"famille"
"abatacept"	"Interactions en propre seulement"
"abciximab (c 7e3b fab)"	"antiagrégants plaquettaires"
"abémaciclib"	"inhibiteurs des tyrosine kinases métabolisés"
"abémaciclib"	"substrats à risque du CYP3A4"
"abiraterone"	"Interactions en propre seulement"
"acebutolol"	"antihypertenseurs sauf alpha-bloquants"
"acebutolol"	"bradycardisants"
"acebutolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"acebutolol"	"bêta-bloquants (sauf esmolol)"
"acebutolol"	"médicaments abaissant la pression artérielle"
"aceclofenac"	"anti-inflammatoires non stéroïdiens"
"aceclofenac"	"hyperkaliémiants"
"acenocoumarol"	"anticoagulants oraux"
"acenocoumarol"	"antivitamines K"
"acetazolamide"	"alcalinisants urinaires"
"acetylsulfafurazol"	"médicaments méthémoglobinisants"
"aciclovir"	"médicaments néphrotoxiques"
"acide acetohydroxamique"	"Interactions en propre seulement"
"acide acetylsalicylique"	"antiagrégants plaquettaires"
"acide acetylsalicylique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acide alendronique"	"bisphosphonates"
"acide alendronique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acide amidotrizoïque"	"médicaments néphrotoxiques"
"acide amidotrizoïque"	"produits de contraste iodés"
"acide ascorbique"	"Interactions en propre seulement"
"acide cholique"	"Interactions en propre seulement"
"acide clodronique"	"bisphosphonates"
"acide clodronique"	"médicaments néphrotoxiques"
"acide clodronique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acide etidronique"	"bisphosphonates"
"acide etidronique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acide folinique"	"folates"
"acide folique"	"folates"
"acide fusidique"	"Interactions en propre seulement"
"acide ibandronique"	"bisphosphonates"
"acide ibandronique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acide ioxaglique"	"médicaments néphrotoxiques"
"acide ioxaglique"	"produits de contraste iodés"
"acide ioxitalamique"	"médicaments néphrotoxiques"
"acide ioxitalamique"	"produits de contraste iodés"
"acide mefenamique"	"anti-inflammatoires non stéroïdiens"
"acide mefenamique"	"hyperkaliémiants"
"acide nicotinique"	"Interactions en propre seulement"
"acide niflumique"	"anti-inflammatoires non stéroïdiens"
"acide niflumique"	"hyperkaliémiants"
"acide oxidronique"	"bisphosphonates"
"acide oxidronique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acide pamidronique"	"bisphosphonates"
"acide pamidronique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acide risedronique"	"bisphosphonates"
"acide risedronique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acide tiaprofenique"	"anti-inflammatoires non stéroïdiens"
"acide tiaprofenique"	"hyperkaliémiants"
"acide tiludronique"	"bisphosphonates"
"acide tiludronique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acide ursodesoxycholique"	""
"acide valproique"	"anticonvulsivants métabolisés"
"acide valproique"	"valproïque (acide) et, par extrapolation, valpromide"
"acide zoledronique"	"bisphosphonates"
"acide zoledronique"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"acitretine"	"rétinoïdes"
"adalimumab"	"anti-TNF alpha"
"adefovir"	"médicaments néphrotoxiques"
"adrenaline"	"adrénaline (voie bucco-dentaire ou sous-cutanée)"
"adrenaline"	"sympathomimétiques alpha et bêta (voie IM et IV)"
"afatinib"	"Interactions en propre seulement"
"agomelatine"	"médicaments sédatifs"
"albendazole"	"Interactions en propre seulement"
"aldesleukine"	"Interactions en propre seulement"
"alemtuzumab"	"anticorps monoclonaux (hors anti-TNF alpha)"
"alfacalcidol"	"vitamine D"
"alfentanil"	"analgésiques morphiniques agonistes"
"alfentanil"	"analgésiques morphiniques de palier III"
"alfentanil"	"morphiniques"
"alfentanil"	"médicaments sédatifs"
"alfentanil"	"substrats à risque du CYP3A4"
"alfuzosine"	"alphabloquants à visée urologique"
"alfuzosine"	"médicaments à l'origine d'une hypotension orthostatique"
"alimemazine"	"hypnotiques"
"alimemazine"	"médicaments abaissant le seuil épileptogène"
"alimemazine"	"médicaments atropiniques"
"alimemazine"	"médicaments sédatifs"
"alimemazine"	"médicaments à l'origine d'une hypotension orthostatique"
"alimemazine"	"neuroleptiques"
"alimemazine"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"alitretinoine"	"rétinoïdes"
"alizapride"	"médicaments sédatifs"
"alizapride"	"médicaments à l'origine d'une hypotension orthostatique"
"alizapride"	"neuroleptiques"
"alizapride"	"neuroleptiques antiémétiques"
"allopurinol"	"inhibiteurs de la xanthine oxydase"
"alminoprofene"	"anti-inflammatoires non stéroïdiens"
"alminoprofene"	"hyperkaliémiants"
"almotriptan"	"triptans"
"almotriptan"	"triptans métabolisés par la MAO"
"alprazolam"	"benzodiazépines et apparentés"
"alprazolam"	"médicaments sédatifs"
"alteplase recombinante"	"médicaments, bradykinine et angio-œdème"
"alteplase recombinante"	"thrombolytiques"
"altizide"	"antihypertenseurs sauf alpha-bloquants"
"altizide"	"diurétiques"
"altizide"	"diurétiques hypokaliémiants"
"altizide"	"diurétiques thiazidiques et apparentés"
"altizide"	"hypokaliémiants"
"altizide"	"hyponatrémiants"
"altizide"	"médicaments abaissant la pression artérielle"
"altretamine"	"cytotoxiques"
"amantadine"	"antiparkinsoniens dopaminergiques"
"amantadine"	"dopaminergiques"
"amantadine"	"médicaments à l'origine d'une hypotension orthostatique"
"ambenonium"	"anticholinestérasiques"
"ambenonium"	"bradycardisants"
"ambrisentan"	"Interactions en propre seulement"
"amikacine"	"aminosides"
"amikacine"	"médicaments néphrotoxiques"
"amikacine"	"médicaments ototoxiques"
"amiloride"	"antihypertenseurs sauf alpha-bloquants"
"amiloride"	"diurétiques"
"amiloride"	"diurétiques épargneurs de potassium (seuls ou associés)"
"amiloride"	"hyperkaliémiants"
"amiloride"	"hyponatrémiants"
"amiloride"	"médicaments abaissant la pression artérielle"
"aminophylline"	"théophylline (et, par extrapolation, aminophylline)"
"amiodarone"	"antiarythmiques"
"amiodarone"	"bradycardisants"
"amiodarone"	"substances susceptibles de donner des torsades de pointes"
"amiodarone"	"torsadogènes (sauf arsénieux, antiparasitaires, neuroleptiques, méthadone...)"
"amisulpride"	"médicaments sédatifs"
"amisulpride"	"médicaments à l'origine d'une hypotension orthostatique"
"amisulpride"	"neuroleptiques"
"amisulpride"	"neuroleptiques antipsychotiques (sauf clozapine)"
"amisulpride"	"neuroleptiques susceptibles de donner des torsades de pointes"
"amisulpride"	"substances susceptibles de donner des torsades de pointes"
"amitriptyline"	"antidépresseurs imipraminiques"
"amitriptyline"	"médicaments abaissant le seuil épileptogène"
"amitriptyline"	"médicaments atropiniques"
"amitriptyline"	"médicaments mixtes adrénergiques-sérotoninergiques"
"amitriptyline"	"médicaments sédatifs"
"amitriptyline"	"médicaments à l'origine d'un syndrome sérotoninergique"
"amitriptyline"	"médicaments à l'origine d'une hypotension orthostatique"
"amlodipine"	"antagonistes des canaux calciques"
"amlodipine"	"antihypertenseurs sauf alpha-bloquants"
"amlodipine"	"dihydropyridines"
"amlodipine"	"médicaments abaissant la pression artérielle"
"amoxapine"	"antidépresseurs imipraminiques"
"amoxapine"	"médicaments abaissant le seuil épileptogène"
"amoxapine"	"médicaments atropiniques"
"amoxapine"	"médicaments à l'origine d'une hypotension orthostatique"
"amoxicilline"	"pénicillines"
"amoxicilline"	"pénicillines A"
"amphotericine b"	"hypokaliémiants"
"amphotericine b"	"médicaments néphrotoxiques"
"ampicilline"	"pénicillines"
"ampicilline"	"pénicillines A"
"amsacrine"	"cytotoxiques"
"anagrelide"	"Interactions en propre seulement"
"anakinra"	"Interactions en propre seulement"
"androstanolone"	"androgènes"
"apalutamide"	"inducteurs enzymatiques"
"apixaban"	"anticoagulants oraux"
"apixaban"	"substrats à risque du CYP3A4"
"apomorphine"	"antiparkinsoniens dopaminergiques"
"apomorphine"	"dopaminergiques"
"apomorphine"	"médicaments à l'origine d'une hypotension orthostatique"
"aprémilast"	"Interactions en propre seulement"
"aprepitant"	"Interactions en propre seulement"
"argatroban"	"inhibiteurs directs de la thrombine à indication spécifique"
"argipressine"	"hyponatrémiants"
"aripiprazole"	"médicaments sédatifs"
"aripiprazole"	"médicaments à l'origine d'une hypotension orthostatique"
"aripiprazole"	"neuroleptiques"
"aripiprazole"	"neuroleptiques antipsychotiques (sauf clozapine)"
"arsenieux"	"substances susceptibles de donner des torsades de pointes"
"asenapine"	"neuroleptiques antipsychotiques (sauf clozapine)"
"asparaginase"	"cytotoxiques"
"ataluren"	"Interactions en propre seulement"
"atazanavir"	"inhibiteurs de protéases boostés par ritonavir"
"atenolol"	"antihypertenseurs sauf alpha-bloquants"
"atenolol"	"bradycardisants"
"atenolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"atenolol"	"bêta-bloquants (sauf esmolol)"
"atenolol"	"médicaments abaissant la pression artérielle"
"atenolol"	"substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants"
"atorvastatine"	"inhibiteurs de l'HMG-CoA réductase (statines)"
"atorvastatine"	"substrats à risque du CYP3A4"
"atovaquone"	"Interactions en propre seulement"
"atracurium"	"curares"
"atracurium"	"curares non dépolarisants"
"atropine"	"médicaments atropiniques"
"avanafil"	"inhibiteurs de la phosphodiesterase de type 5"
"avanafil"	"médicaments à l'origine d'une hypotension orthostatique"
"avizafone"	"benzodiazépines et apparentés"
"avizafone"	"médicaments sédatifs"
"axitinib"	"inhibiteurs des tyrosine kinases métabolisés"
"axitinib"	"substrats à risque du CYP3A4"
"azacitidine"	"cytotoxiques"
"azathioprine"	"antipurines"
"azathioprine"	"cytotoxiques"
"azelastine"	"médicaments atropiniques"
"azelastine"	"médicaments sédatifs"
"azilsartan"	"antagonistes des récepteurs de l'angiotensine II"
"azilsartan"	"antihypertenseurs sauf alpha-bloquants"
"azilsartan"	"hyperkaliémiants"
"azilsartan"	"médicaments abaissant la pression artérielle"
"azilsartan"	"médicaments, bradykinine et angio-œdème"
"azithromycine"	"macrolides (sauf spiramycine)"
"aztreonam"	"Interactions en propre seulement"
"baclofene"	"médicaments sédatifs"
"baclofene"	"médicaments à l'origine d'une hypotension orthostatique"
"bambuterol"	"bêta-2 mimétiques"
"bazédoxifène"	"Interactions en propre seulement"
"bcg"	"vaccins vivants atténués"
"bédaquiline"	"Interactions en propre seulement"
"bélatacept"	"Interactions en propre seulement"
"bélimumab"	"anticorps monoclonaux (hors anti-TNF alpha)"
"benazepril"	"antihypertenseurs sauf alpha-bloquants"
"benazepril"	"hyperkaliémiants"
"benazepril"	"inhibiteurs de l'enzyme de conversion"
"benazepril"	"médicaments abaissant la pression artérielle"
"benazepril"	"médicaments, bradykinine et angio-œdème"
"bendamustine"	"cytotoxiques"
"bendroflumethiazide"	"antihypertenseurs sauf alpha-bloquants"
"bendroflumethiazide"	"diurétiques"
"bendroflumethiazide"	"diurétiques hypokaliémiants"
"bendroflumethiazide"	"diurétiques thiazidiques et apparentés"
