"molecule"	"famille"
"abciximab (c 7e3b fab)"	"antiagrégants plaquettaires"
"acebutolol"	"antihypertenseurs"
"acebutolol"	"antihypertenseurs sauf alpha-bloquants"
"acebutolol"	"bêta-bloquants (sauf esmolol et sotalol)"
"acebutolol"	"bêta-bloquants (sauf esmolol)"
"acebutolol"	"bradycardisants"
"acebutolol"	"médicaments abaissant la pression artérielle"
"aceclofenac"	"anti-inflammatoires non stéroïdiens"
"aceclofenac"	"hyperkaliémiants"
"acenocoumarol"	"anticoagulants oraux"
"acepromazine"	"hypnotiques"
"acepromazine"	"médicaments abaissant la pression artérielle"
"acepromazine"	"médicaments abaissant le seuil épileptogène"
"acepromazine"	"médicaments atropiniques"
"acepromazine"	"médicaments sédatifs"
"acepromazine"	"neuroleptiques"
"acepromazine"	"neuroleptiques phénothiaziniques"
"aceprometazine"	"hypnotiques"
"aceprometazine"	"médicaments abaissant la pression artérielle"
"aceprometazine"	"médicaments abaissant le seuil épileptogène"
"aceprometazine"	"médicaments atropiniques"
"aceprometazine"	"médicaments sédatifs"
"aceprometazine"	"neuroleptiques"
"aceprometazine"	"neuroleptiques phénothiaziniques"
"acetazolamide"	"alcalinisants urinaires"
"acetylsulfafurazol"	"sulfamides antibactériens"
"aciclovir"	"médicaments néphrotoxiques"
"acide acetohydroxamique"	"Interactions en propre seulement"
"acide acetylsalicylique"	"antiagrégants plaquettaires"
"acide alendronique"	"bisphosphonates"
"acide amidotrizoïque"	"médicaments néphrotoxiques"
"acide amidotrizoïque"	"produits de contraste iodés"
"acide ascorbique"	"Interactions en propre seulement"
"acide chenodesoxycholique"	"acides biliaires"
"acide clodronique"	"bisphosphonates"
"acide clodronique"	"médicaments néphrotoxiques"
"acide etidronique"	"bisphosphonates"
"acide folinique"	"folates"
"acide folique"	"folates"
"acide fusidique"	"Interactions en propre seulement"
"acide ibandronique"	"bisphosphonates"
"acide ioxaglique"	"médicaments néphrotoxiques"
"acide ioxaglique"	"produits de contraste iodés"
"acide ioxitalamique"	"médicaments néphrotoxiques"
"acide ioxitalamique"	"produits de contraste iodés"
"acide medronique"	"bisphosphonates"
"acide mefenamique"	"anti-inflammatoires non stéroïdiens"
"acide mefenamique"	"hyperkaliémiants"
"acide nicotinique"	"Interactions en propre seulement"
"acide niflumique"	"anti-inflammatoires non stéroïdiens"
"acide niflumique"	"hyperkaliémiants"
"acide oxidronique"	"bisphosphonates"
"acide pamidronique"	"bisphosphonates"
"acide risedronique"	"bisphosphonates"
"acide tiaprofenique"	"anti-inflammatoires non stéroïdiens"
"acide tiaprofenique"	"hyperkaliémiants"
"acide tiludronique"	"bisphosphonates"
"acide ursodesoxycholique"	"acides biliaires"
"acide valproique"	"anticonvulsivants métabolisés"
"acide valproique"	"valproïque (acide) et, par extrapolation, valpromide"
